Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
0,9.88047978,2.78458,18500,23.6,129.45,860,6113,4.512,0.917
0,4.6484156,38.1939,128,5.06,6152.88,2259,6980,3.577,3.482
0,17.51201477,1.8248,4510,13.66,98.77,804,6224,4.33,1.132
1,3.9886021,1.7376,674,34.39,23135.72,3145,4813,2.472,13.652
1,0.533059312,1.8621,1500,133.56,277887.7,5862,8523,3.559,4.051
0,0.525154153,2.1441,748,23.61,4391.51,2073,5582,4.497,0.846
0,1.303861044,4.0541,598,27.85,1595.19,1610,5758,4.475,0.902
0,2.55549176,9.083,114,23.35,701.68,1312,5948,4.508,0.901
0,2.947376671,2.0911,433,403.59,7903.84,2404,8090,4.002,2.234
1,224.7789355,11.1899,3490,7.67,2.92,333,5873,4.293,1.235
0,0.890110752,0.8774,322,1.25,838.42,1372,4768,4.628,0.711
0,5.76573396,2.924,248,7.47,3518.78,1964,5772,3.364,4.434
1,7.42608123,3.6379,443,2.47,273.78,1037,6049,4.353,1.176
1,15.9868932,4.158,179,1.62,98.51,803,6049,4.353,1.176
0,0.73094589,4.32,250,17.12,3248.17,1922,5901,4.553,0.848
1,18.92537246,3.9835,641,13.92,443.58,1171,4941,3.317,4.885
0,0.933749106,4.256,186,3.22,15822.49,2863,6215,3.849,2.188
0,2.037440623,3.442,119,1.19,1448.05,1572,6253,4.415,1.015
1,129995.7784,9.408,1470,2.99,0,25,4500,4.572,0.726
1,31.5925809,13.566,145,1.78,53.09,688,5676,4.1,1.487
1,17.157236,11.284,110,1.55,119.87,844,5676,4.1,1.487
1,1.97376085,1.82542,30200,8.78,76.1,753,3807,4.762,0.503
1,13.11896244,4.3045,372,8.25,2310.43,1768,7221,3.488,4.24
0,4.618767792,5.9957,4400,7.48,442.78,1170,6013,4.381,1.033
1,7.82187328,3.8417,42.2,2.78,4601.71,2101,7221,3.488,4.24
1,53.5057611,10.5616,196,2.52,49.16,675,6247,4.016,1.762
